Type,Manufacturer,Part number,Comment,In-house,,,
servo,Baldor,MTE-4535-SPECIAL,Purchased from eBay,yes,,,
servo driver,Servo Dynamics,SDFP4-1525-171-3-186,Contains 3 amplifier boards of type “AW 1451”,yes,,,
interface,Mesa Electronics,7i97t,Ethernet analog servo interface,yes,,,
computer,Raspbery Pi,Raspberry Pi 5,"8GB RAM, 500GB NVMe storage",yes,,,
transformer,Triad Magnetics,VPT36-4440,Purchased from Mouser,,,,
connector,Amphenol,MS3106A24-7S,Female connector from servo.  Purchased from eBay,,,,
